job 583352 on tr-slurm2
shard 2/8: 2021-10-28 .. 2022-06-03 (219 days of 1745)
=== U-Net pipeline: fetch ===
  data dir : /mnt/wato-drive/c52li/weatherloo-data/unet
  GFS      : https://noaa-gfs-bdp-pds.s3.amazonaws.com (anonymous, byte-range GRIB)
  ERA5     : gs://gcp-public-data-arco-era5/ar/full_37-1h-0p25deg-chunk-1.zarr-v3 (anonymous)

opening ERA5 store (reads metadata only) ...
  ERA5 final-data boundary: 2026-04-30T23:00:00+00:00 (--end clamps to this; time axis is padded past it)

range 2021-10-28 .. 2022-06-03: 7008 samples
  already cached: 1232   to fetch: 5776   workers: 6
  expected footprint: ~1.5-2 MB/sample GRIB + ~21 KB/sample .npz (~11.7 GB total, GRIB pruned after caching)
  25/5776  (1.41 samples/s, ETA 1h 08m, 0 errors)
  50/5776  (1.34 samples/s, ETA 1h 11m, 0 errors)
  75/5776  (1.29 samples/s, ETA 1h 13m, 0 errors)
  100/5776  (1.45 samples/s, ETA 1h 05m, 0 errors)
  125/5776  (1.48 samples/s, ETA 1h 03m, 0 errors)
  150/5776  (1.54 samples/s, ETA 1h 00m, 0 errors)
  175/5776  (1.53 samples/s, ETA 1h 01m, 0 errors)
  200/5776  (1.57 samples/s, ETA 59m 13s, 0 errors)
  225/5776  (1.61 samples/s, ETA 57m 34s, 0 errors)
  250/5776  (1.65 samples/s, ETA 55m 54s, 0 errors)
  275/5776  (1.62 samples/s, ETA 56m 26s, 0 errors)
  300/5776  (1.65 samples/s, ETA 55m 12s, 0 errors)
  325/5776  (1.67 samples/s, ETA 54m 21s, 0 errors)
  350/5776  (1.70 samples/s, ETA 53m 04s, 0 errors)
  375/5776  (1.72 samples/s, ETA 52m 18s, 0 errors)
  400/5776  (1.74 samples/s, ETA 51m 28s, 0 errors)
  425/5776  (1.73 samples/s, ETA 51m 26s, 0 errors)
  450/5776  (1.75 samples/s, ETA 50m 51s, 0 errors)
  475/5776  (1.71 samples/s, ETA 51m 46s, 0 errors)
  500/5776  (1.74 samples/s, ETA 50m 40s, 0 errors)
  525/5776  (1.70 samples/s, ETA 51m 37s, 0 errors)
  550/5776  (1.69 samples/s, ETA 51m 34s, 0 errors)
  575/5776  (1.69 samples/s, ETA 51m 23s, 0 errors)
  600/5776  (1.68 samples/s, ETA 51m 14s, 0 errors)
  625/5776  (1.70 samples/s, ETA 50m 28s, 0 errors)
  650/5776  (1.70 samples/s, ETA 50m 20s, 0 errors)
  675/5776  (1.68 samples/s, ETA 50m 32s, 0 errors)
  700/5776  (1.68 samples/s, ETA 50m 21s, 0 errors)
  725/5776  (1.67 samples/s, ETA 50m 20s, 0 errors)
  750/5776  (1.68 samples/s, ETA 49m 46s, 0 errors)
  775/5776  (1.69 samples/s, ETA 49m 27s, 0 errors)
  800/5776  (1.67 samples/s, ETA 49m 46s, 0 errors)
  825/5776  (1.68 samples/s, ETA 49m 08s, 0 errors)
  850/5776  (1.69 samples/s, ETA 48m 34s, 0 errors)
  875/5776  (1.68 samples/s, ETA 48m 35s, 0 errors)
  900/5776  (1.69 samples/s, ETA 48m 07s, 0 errors)
  925/5776  (1.70 samples/s, ETA 47m 36s, 0 errors)
  950/5776  (1.71 samples/s, ETA 47m 07s, 0 errors)
  975/5776  (1.70 samples/s, ETA 47m 03s, 0 errors)
  1000/5776  (1.69 samples/s, ETA 46m 59s, 0 errors)
  1025/5776  (1.70 samples/s, ETA 46m 35s, 0 errors)
  1050/5776  (1.69 samples/s, ETA 46m 36s, 0 errors)
  1075/5776  (1.69 samples/s, ETA 46m 19s, 0 errors)
  1100/5776  (1.68 samples/s, ETA 46m 17s, 0 errors)
  1125/5776  (1.68 samples/s, ETA 46m 08s, 0 errors)
  1150/5776  (1.69 samples/s, ETA 45m 44s, 0 errors)
  1175/5776  (1.68 samples/s, ETA 45m 35s, 0 errors)
  1200/5776  (1.69 samples/s, ETA 45m 11s, 0 errors)
  1225/5776  (1.69 samples/s, ETA 44m 48s, 0 errors)
  1250/5776  (1.69 samples/s, ETA 44m 41s, 0 errors)
  1275/5776  (1.69 samples/s, ETA 44m 16s, 0 errors)
  1300/5776  (1.69 samples/s, ETA 44m 10s, 0 errors)
  1325/5776  (1.69 samples/s, ETA 43m 59s, 0 errors)
  1350/5776  (1.68 samples/s, ETA 43m 53s, 0 errors)
  1375/5776  (1.66 samples/s, ETA 44m 10s, 0 errors)
  1400/5776  (1.67 samples/s, ETA 43m 47s, 0 errors)
  1425/5776  (1.65 samples/s, ETA 43m 54s, 0 errors)
  1450/5776  (1.65 samples/s, ETA 43m 34s, 0 errors)
  1475/5776  (1.65 samples/s, ETA 43m 29s, 0 errors)
  1500/5776  (1.65 samples/s, ETA 43m 19s, 0 errors)
  1525/5776  (1.62 samples/s, ETA 43m 42s, 0 errors)
  1550/5776  (1.62 samples/s, ETA 43m 23s, 0 errors)
  1575/5776  (1.63 samples/s, ETA 42m 59s, 0 errors)
  1600/5776  (1.62 samples/s, ETA 43m 01s, 0 errors)
  1625/5776  (1.62 samples/s, ETA 42m 49s, 0 errors)
  1650/5776  (1.61 samples/s, ETA 42m 35s, 0 errors)
  1675/5776  (1.61 samples/s, ETA 42m 22s, 0 errors)
  1700/5776  (1.62 samples/s, ETA 42m 03s, 0 errors)
  1725/5776  (1.62 samples/s, ETA 41m 46s, 0 errors)
  1750/5776  (1.61 samples/s, ETA 41m 45s, 0 errors)
  1775/5776  (1.60 samples/s, ETA 41m 39s, 0 errors)
  1800/5776  (1.60 samples/s, ETA 41m 26s, 0 errors)
  1825/5776  (1.60 samples/s, ETA 41m 02s, 0 errors)
  1850/5776  (1.60 samples/s, ETA 40m 52s, 0 errors)
  1875/5776  (1.60 samples/s, ETA 40m 36s, 0 errors)
  1900/5776  (1.60 samples/s, ETA 40m 20s, 0 errors)
  1925/5776  (1.59 samples/s, ETA 40m 14s, 0 errors)
