job 583351 on tr-slurm2
shard 1/8: 2021-03-23 .. 2021-10-27 (219 days of 1745)
=== U-Net pipeline: fetch ===
  data dir : /mnt/wato-drive/c52li/weatherloo-data/unet
  GFS      : https://noaa-gfs-bdp-pds.s3.amazonaws.com (anonymous, byte-range GRIB)
  ERA5     : gs://gcp-public-data-arco-era5/ar/full_37-1h-0p25deg-chunk-1.zarr-v3 (anonymous)

opening ERA5 store (reads metadata only) ...
  ERA5 final-data boundary: 2026-04-30T23:00:00+00:00 (--end clamps to this; time axis is padded past it)

range 2021-03-23 .. 2021-10-27: 7008 samples
  already cached: 0   to fetch: 7008   workers: 6
  expected footprint: ~1.5-2 MB/sample GRIB + ~21 KB/sample .npz (~11.7 GB total, GRIB pruned after caching)
  25/7008  (1.41 samples/s, ETA 1h 22m, 0 errors)
  50/7008  (1.32 samples/s, ETA 1h 28m, 0 errors)
  75/7008  (1.27 samples/s, ETA 1h 31m, 0 errors)
  100/7008  (1.31 samples/s, ETA 1h 27m, 0 errors)
  125/7008  (1.43 samples/s, ETA 1h 20m, 0 errors)
  150/7008  (1.54 samples/s, ETA 1h 14m, 0 errors)
  175/7008  (1.54 samples/s, ETA 1h 13m, 0 errors)
  200/7008  (1.61 samples/s, ETA 1h 10m, 0 errors)
  225/7008  (1.66 samples/s, ETA 1h 08m, 0 errors)
  250/7008  (1.70 samples/s, ETA 1h 06m, 0 errors)
  275/7008  (1.69 samples/s, ETA 1h 06m, 0 errors)
  300/7008  (1.71 samples/s, ETA 1h 05m, 0 errors)
  325/7008  (1.74 samples/s, ETA 1h 04m, 0 errors)
  350/7008  (1.76 samples/s, ETA 1h 03m, 0 errors)
  375/7008  (1.77 samples/s, ETA 1h 02m, 0 errors)
  400/7008  (1.79 samples/s, ETA 1h 01m, 0 errors)
  425/7008  (1.79 samples/s, ETA 1h 01m, 0 errors)
  450/7008  (1.78 samples/s, ETA 1h 01m, 0 errors)
  475/7008  (1.76 samples/s, ETA 1h 01m, 0 errors)
  500/7008  (1.74 samples/s, ETA 1h 02m, 0 errors)
  525/7008  (1.74 samples/s, ETA 1h 02m, 0 errors)
  550/7008  (1.72 samples/s, ETA 1h 02m, 0 errors)
  575/7008  (1.69 samples/s, ETA 1h 03m, 0 errors)
  600/7008  (1.68 samples/s, ETA 1h 03m, 0 errors)
  625/7008  (1.66 samples/s, ETA 1h 04m, 0 errors)
  650/7008  (1.66 samples/s, ETA 1h 03m, 0 errors)
  675/7008  (1.63 samples/s, ETA 1h 04m, 0 errors)
  700/7008  (1.62 samples/s, ETA 1h 04m, 0 errors)
  725/7008  (1.64 samples/s, ETA 1h 03m, 0 errors)
  750/7008  (1.63 samples/s, ETA 1h 03m, 0 errors)
  775/7008  (1.62 samples/s, ETA 1h 04m, 0 errors)
  800/7008  (1.63 samples/s, ETA 1h 03m, 0 errors)
  825/7008  (1.65 samples/s, ETA 1h 02m, 0 errors)
  850/7008  (1.65 samples/s, ETA 1h 02m, 0 errors)
  875/7008  (1.66 samples/s, ETA 1h 01m, 0 errors)
  900/7008  (1.67 samples/s, ETA 1h 01m, 0 errors)
  925/7008  (1.68 samples/s, ETA 1h 00m, 0 errors)
  950/7008  (1.69 samples/s, ETA 59m 46s, 0 errors)
  975/7008  (1.69 samples/s, ETA 59m 38s, 0 errors)
  1000/7008  (1.68 samples/s, ETA 59m 28s, 0 errors)
  1025/7008  (1.69 samples/s, ETA 58m 53s, 0 errors)
  1050/7008  (1.69 samples/s, ETA 58m 54s, 0 errors)
  1075/7008  (1.70 samples/s, ETA 58m 16s, 0 errors)
  1100/7008  (1.70 samples/s, ETA 57m 46s, 0 errors)
  1125/7008  (1.70 samples/s, ETA 57m 34s, 0 errors)
  1150/7008  (1.70 samples/s, ETA 57m 27s, 0 errors)
  1175/7008  (1.71 samples/s, ETA 56m 56s, 0 errors)
  1200/7008  (1.71 samples/s, ETA 56m 44s, 0 errors)
  1225/7008  (1.71 samples/s, ETA 56m 22s, 0 errors)
  1250/7008  (1.71 samples/s, ETA 55m 58s, 0 errors)
  1275/7008  (1.71 samples/s, ETA 55m 53s, 0 errors)
  1300/7008  (1.71 samples/s, ETA 55m 43s, 0 errors)
  1325/7008  (1.71 samples/s, ETA 55m 19s, 0 errors)
  1350/7008  (1.70 samples/s, ETA 55m 36s, 0 errors)
  1375/7008  (1.68 samples/s, ETA 55m 46s, 0 errors)
  1400/7008  (1.68 samples/s, ETA 55m 34s, 0 errors)
  1425/7008  (1.68 samples/s, ETA 55m 21s, 0 errors)
  1450/7008  (1.68 samples/s, ETA 55m 13s, 0 errors)
  1475/7008  (1.68 samples/s, ETA 54m 45s, 0 errors)
  1500/7008  (1.69 samples/s, ETA 54m 17s, 0 errors)
  1525/7008  (1.69 samples/s, ETA 54m 06s, 0 errors)
  1550/7008  (1.66 samples/s, ETA 54m 47s, 0 errors)
  1575/7008  (1.66 samples/s, ETA 54m 36s, 0 errors)
  1600/7008  (1.66 samples/s, ETA 54m 08s, 0 errors)
  1625/7008  (1.67 samples/s, ETA 53m 41s, 0 errors)
  1650/7008  (1.66 samples/s, ETA 53m 45s, 0 errors)
  1675/7008  (1.66 samples/s, ETA 53m 35s, 0 errors)
  1700/7008  (1.65 samples/s, ETA 53m 42s, 0 errors)
  1725/7008  (1.65 samples/s, ETA 53m 18s, 0 errors)
  1750/7008  (1.66 samples/s, ETA 52m 50s, 0 errors)
  1775/7008  (1.65 samples/s, ETA 52m 56s, 0 errors)
  1800/7008  (1.65 samples/s, ETA 52m 43s, 0 errors)
  1825/7008  (1.64 samples/s, ETA 52m 45s, 0 errors)
  1850/7008  (1.64 samples/s, ETA 52m 34s, 0 errors)
  1875/7008  (1.64 samples/s, ETA 52m 08s, 0 errors)
  1900/7008  (1.63 samples/s, ETA 52m 04s, 0 errors)
  1925/7008  (1.63 samples/s, ETA 51m 53s, 0 errors)
  1950/7008  (1.63 samples/s, ETA 51m 43s, 0 errors)
  1975/7008  (1.63 samples/s, ETA 51m 27s, 0 errors)
  2000/7008  (1.64 samples/s, ETA 51m 02s, 0 errors)
  2025/7008  (1.64 samples/s, ETA 50m 38s, 0 errors)
  2050/7008  (1.64 samples/s, ETA 50m 28s, 0 errors)
  2075/7008  (1.64 samples/s, ETA 50m 04s, 0 errors)
  2100/7008  (1.64 samples/s, ETA 49m 44s, 0 errors)
  2125/7008  (1.65 samples/s, ETA 49m 22s, 0 errors)
  2150/7008  (1.65 samples/s, ETA 49m 00s, 0 errors)
  2175/7008  (1.65 samples/s, ETA 48m 47s, 0 errors)
  2200/7008  (1.66 samples/s, ETA 48m 24s, 0 errors)
  2225/7008  (1.66 samples/s, ETA 48m 03s, 0 errors)
  2250/7008  (1.65 samples/s, ETA 48m 08s, 0 errors)
  2275/7008  (1.65 samples/s, ETA 47m 46s, 0 errors)
  2300/7008  (1.65 samples/s, ETA 47m 25s, 0 errors)
  2325/7008  (1.65 samples/s, ETA 47m 20s, 0 errors)
  2350/7008  (1.64 samples/s, ETA 47m 16s, 0 errors)
  2375/7008  (1.63 samples/s, ETA 47m 14s, 0 errors)
  2400/7008  (1.63 samples/s, ETA 47m 02s, 0 errors)
  2425/7008  (1.63 samples/s, ETA 46m 57s, 0 errors)
  2450/7008  (1.63 samples/s, ETA 46m 36s, 0 errors)
  2475/7008  (1.63 samples/s, ETA 46m 23s, 0 errors)
  2500/7008  (1.63 samples/s, ETA 46m 02s, 0 errors)
  2525/7008  (1.63 samples/s, ETA 45m 43s, 0 errors)
  2550/7008  (1.64 samples/s, ETA 45m 22s, 0 errors)
  2575/7008  (1.63 samples/s, ETA 45m 11s, 0 errors)
  2600/7008  (1.63 samples/s, ETA 45m 04s, 0 errors)
  2625/7008  (1.63 samples/s, ETA 44m 44s, 0 errors)
  2650/7008  (1.64 samples/s, ETA 44m 23s, 0 errors)
  2675/7008  (1.64 samples/s, ETA 44m 03s, 0 errors)
  2700/7008  (1.64 samples/s, ETA 43m 45s, 0 errors)
  2725/7008  (1.64 samples/s, ETA 43m 32s, 0 errors)
  2750/7008  (1.64 samples/s, ETA 43m 18s, 0 errors)
  2775/7008  (1.64 samples/s, ETA 42m 56s, 0 errors)
  2800/7008  (1.65 samples/s, ETA 42m 37s, 0 errors)
  2825/7008  (1.65 samples/s, ETA 42m 17s, 0 errors)
  2850/7008  (1.65 samples/s, ETA 42m 03s, 0 errors)
  2875/7008  (1.64 samples/s, ETA 41m 53s, 0 errors)
  2900/7008  (1.64 samples/s, ETA 41m 39s, 0 errors)
  2925/7008  (1.65 samples/s, ETA 41m 19s, 0 errors)
  2950/7008  (1.64 samples/s, ETA 41m 12s, 0 errors)
  2975/7008  (1.64 samples/s, ETA 41m 05s, 0 errors)
  3000/7008  (1.64 samples/s, ETA 40m 46s, 0 errors)
  3025/7008  (1.63 samples/s, ETA 40m 38s, 0 errors)
  3050/7008  (1.63 samples/s, ETA 40m 22s, 0 errors)
  3075/7008  (1.63 samples/s, ETA 40m 05s, 0 errors)
  3100/7008  (1.64 samples/s, ETA 39m 50s, 0 errors)
  3125/7008  (1.64 samples/s, ETA 39m 34s, 0 errors)
  3150/7008  (1.64 samples/s, ETA 39m 14s, 0 errors)
  3175/7008  (1.64 samples/s, ETA 38m 53s, 0 errors)
  3200/7008  (1.64 samples/s, ETA 38m 36s, 0 errors)
  3225/7008  (1.64 samples/s, ETA 38m 28s, 0 errors)
  3250/7008  (1.63 samples/s, ETA 38m 20s, 0 errors)
  3275/7008  (1.64 samples/s, ETA 38m 01s, 0 errors)
  3300/7008  (1.64 samples/s, ETA 37m 42s, 0 errors)
  3325/7008  (1.63 samples/s, ETA 37m 39s, 0 errors)
  3350/7008  (1.63 samples/s, ETA 37m 21s, 0 errors)
  3375/7008  (1.63 samples/s, ETA 37m 12s, 0 errors)
  3400/7008  (1.63 samples/s, ETA 36m 58s, 0 errors)
  3425/7008  (1.63 samples/s, ETA 36m 43s, 0 errors)
  3450/7008  (1.62 samples/s, ETA 36m 33s, 0 errors)
  3475/7008  (1.62 samples/s, ETA 36m 19s, 0 errors)
  3500/7008  (1.62 samples/s, ETA 36m 09s, 0 errors)
  3525/7008  (1.62 samples/s, ETA 35m 53s, 0 errors)
  3550/7008  (1.62 samples/s, ETA 35m 35s, 0 errors)
  3575/7008  (1.62 samples/s, ETA 35m 16s, 0 errors)
  3600/7008  (1.62 samples/s, ETA 34m 58s, 0 errors)
  3625/7008  (1.63 samples/s, ETA 34m 41s, 0 errors)
  3650/7008  (1.62 samples/s, ETA 34m 27s, 0 errors)
  3675/7008  (1.63 samples/s, ETA 34m 08s, 0 errors)
  3700/7008  (1.63 samples/s, ETA 33m 46s, 0 errors)
  3725/7008  (1.64 samples/s, ETA 33m 25s, 0 errors)
  3750/7008  (1.64 samples/s, ETA 33m 03s, 0 errors)
  3775/7008  (1.65 samples/s, ETA 32m 42s, 0 errors)
  3800/7008  (1.65 samples/s, ETA 32m 21s, 0 errors)
  3825/7008  (1.66 samples/s, ETA 32m 00s, 0 errors)
  3850/7008  (1.66 samples/s, ETA 31m 39s, 0 errors)
  3875/7008  (1.67 samples/s, ETA 31m 19s, 0 errors)
  3900/7008  (1.67 samples/s, ETA 30m 58s, 0 errors)
  3925/7008  (1.68 samples/s, ETA 30m 38s, 0 errors)
  3950/7008  (1.68 samples/s, ETA 30m 18s, 0 errors)
  3975/7008  (1.69 samples/s, ETA 29m 58s, 0 errors)
  4000/7008  (1.69 samples/s, ETA 29m 39s, 0 errors)
  4025/7008  (1.70 samples/s, ETA 29m 19s, 0 errors)
  4050/7008  (1.70 samples/s, ETA 29m 00s, 0 errors)
  4075/7008  (1.70 samples/s, ETA 28m 40s, 0 errors)
  4100/7008  (1.71 samples/s, ETA 28m 21s, 0 errors)
  4125/7008  (1.71 samples/s, ETA 28m 02s, 0 errors)
  4150/7008  (1.72 samples/s, ETA 27m 43s, 0 errors)
  4175/7008  (1.72 samples/s, ETA 27m 24s, 0 errors)
  4200/7008  (1.73 samples/s, ETA 27m 05s, 0 errors)
  4225/7008  (1.73 samples/s, ETA 26m 46s, 0 errors)
  4250/7008  (1.74 samples/s, ETA 26m 28s, 0 errors)
  4275/7008  (1.74 samples/s, ETA 26m 12s, 0 errors)
  4300/7008  (1.74 samples/s, ETA 25m 57s, 0 errors)
  4325/7008  (1.74 samples/s, ETA 25m 39s, 0 errors)
